"bin","age","income"
"60-69",64,48000000
"30-39",33,42000000
"20-29",24,6500000
"30-39",33,34000000
"70-79",78,33000000
"60-69",62,22000000
"80-",88,21500000
"50-59",54,36000000
"50-59",54,28000000
"30-39",31,20000000
"20-29",22,19000000
"70-79",76,23500000
"60-69",66,17500000
"10-19",18,30500000
"20-29",21,19500000
"40-49",45,26500000
"10-19",19,15500000
"30-39",34,33000000
"30-39",30,49000000
"30-39",31,64000000
"20-29",21,20000000
"40-49",40,43500000
"40-49",42,26500000
"30-39",33,41500000
"20-29",22,20000000
"20-29",21,14000000
"30-39",31,44500000
"40-49",48,46000000
"30-39",34,48000000
"60-69",61,22000000
"20-29",21,24000000
"40-49",48,60500000
"10-19",19,19000000
"20-29",28,31000000
"50-59",55,36500000
"20-29",22,13500000
"20-29",28,45500000
"60-69",60,31500000
"30-39",32,33000000
"20-29",28,50000000
"30-39",37,60500000
"30-39",34,50500000
"40-49",41,54000000
"40-49",48,33500000
"50-59",57,30000000
"20-29",26,51000000
"40-49",42,54000000
"30-39",37,53500000
"30-39",37,37500000
"50-59",59,34500000
"30-39",39,40500000
"20-29",24,24000000
"30-39",39,54500000
"40-49",46,42500000
"20-29",24,15000000
"40-49",45,38000000
"80-",87,32000000
"60-69",64,32500000
"60-69",62,44000000
"20-29",24,33000000
"20-29",26,61000000
"30-39",35,60000000
"30-39",30,31500000
"20-29",21,15500000
"10-19",19,28000000
"20-29",27,60000000
"40-49",40,35000000
"40-49",46,37000000
"50-59",50,32500000
"30-39",32,59500000
"40-49",44,35000000
"70-79",72,26500000
"40-49",45,41500000
"60-69",66,21000000
"60-69",64,45000000
"50-59",57,27500000
"40-49",45,42500000
"20-29",28,29000000
"70-79",71,22500000
"30-39",38,46000000
"20-29",27,59500000
"70-79",79,33500000
"20-29",21,13500000
"50-59",52,40000000
"70-79",76,22000000
"50-59",56,28500000
"40-49",49,14500000
"30-39",39,28000000
"30-39",34,45000000
"30-39",33,34000000
"30-39",38,57500000
"80-",85,24500000
"20-29",26,35500000
"20-29",26,27000000
"20-29",29,40000000
"50-59",53,41000000
"60-69",61,22500000
"50-59",53,16000000
"10-19",19,11500000
"80-",83,14500000
"40-49",46,25500000
"30-39",36,29500000
"40-49",41,49000000
"20-29",26,41000000
"20-29",20,14000000
"60-69",65,32500000
"30-39",35,64000000
"30-39",37,35500000
"20-29",23,17000000
"30-39",32,44500000
"60-69",64,53500000
"40-49",40,39000000
"30-39",37,25500000
"30-39",39,49500000
"20-29",28,40500000
"30-39",32,44000000
"50-59",56,30000000
"30-39",31,63500000
"40-49",47,23000000
"30-39",38,48500000
"40-49",47,40000000
"30-39",37,46500000
"30-39",36,35500000
"30-39",34,40000000
"50-59",54,36500000
"30-39",33,38000000
"40-49",47,42500000
"30-39",36,62000000
"50-59",53,50000000
"20-29",23,8000000
"60-69",64,24000000
"50-59",59,32500000
"30-39",30,32000000
"50-59",51,45500000
"60-69",66,28000000
"50-59",51,58000000
"30-39",31,36000000
"30-39",32,39000000
"50-59",59,45500000
"40-49",47,46500000
"30-39",34,29000000
"50-59",53,25000000
"60-69",67,19500000
"60-69",62,45000000
"30-39",37,32500000
"30-39",33,18000000
"80-",87,18000000
"50-59",56,44000000
"70-79",76,22000000
"40-49",42,45000000
"40-49",44,46500000
"20-29",27,35000000
"50-59",53,24500000
"30-39",36,49500000
"70-79",73,37500000
"50-59",55,26000000
"40-49",46,47500000
"40-49",47,32000000
"60-69",61,50500000
"30-39",37,26000000
"30-39",32,70500000
"20-29",24,13000000
"20-29",26,40500000
"40-49",43,58000000
"30-39",30,34000000
"30-39",39,45000000
"20-29",25,50500000
"30-39",33,45000000
"40-49",45,42000000
"60-69",62,45500000
"30-39",36,36000000
"70-79",76,32500000
"20-29",21,20500000
"30-39",37,53500000
"40-49",40,41500000
"50-59",56,29500000
"60-69",66,26500000
"50-59",52,49000000
"40-49",44,48500000
"50-59",59,20500000
"20-29",21,26500000
"30-39",31,34000000
"30-39",37,11500000
"20-29",20,6500000
"20-29",24,18000000
"50-59",56,33000000
"20-29",25,51500000
"30-39",34,59000000
"30-39",36,46000000
"70-79",78,20500000
"70-79",72,23000000
"30-39",35,15500000
"30-39",37,57000000
"50-59",52,48500000
"30-39",35,53000000
"50-59",52,5500000
"20-29",25,43000000
"40-49",42,59500000
"40-49",46,38000000
"60-69",61,42500000
"70-79",71,17000000
"60-69",68,20000000
"70-79",76,23500000
"40-49",41,43000000
"50-59",51,61000000
"30-39",30,51500000
"30-39",33,46500000
"20-29",25,61000000
"40-49",41,42000000
