youtube_adwords,facebook,naver_blog,marketing_total,revenues,employees,pop_density
72226,52646,57706,182578,43186,5,High
43010,60720,85140,188870,42790,7,Medium
192291,57211,74811,324313,54461,11,Medium
37796,68156,95546,201498,44616,7,High
86031,45001,33451,164483,44231,9,Low
37609,16599,14069,68277,41899,3,High
248281,17501,36641,302423,48631,10,Low
99033,18843,37763,155639,44253,6,High
262240,38610,15290,316140,53680,6,Medium
47883,46453,79013,173349,40293,4,Low
130064,17314,15554,162932,41954,7,Medium
247104,44924,58014,350042,51964,9,High
241461,65131,69531,376123,59631,10,High
98769,50589,134409,283767,46409,6,Low
336699,56859,73359,466917,62469,12,Medium
101178,33748,30008,164934,45958,6,High
266992,43362,70312,380666,55022,10,Medium
290004,20614,39534,350152,51084,6,Low
38676,27786,63536,129998,38786,5,Low
278344,31944,40854,351142,52734,10,High
96954,28424,33374,158752,47564,6,High
180048,41228,21538,242814,47828,6,Low
290356,30756,36256,357368,52206,9,Medium
295878,38148,32208,366234,51458,9,Low
345477,40557,55627,441661,55297,9,Low
148390,29480,51480,229350,45760,8,High
313489,29469,6479,349437,48939,10,Medium
129448,11858,17138,158444,43098,3,Low
347699,18579,22099,388377,50479,10,Medium
317438,58168,14168,389774,60258,10,Low
107107,65417,60027,232551,49577,10,Medium
73260,41360,49280,163900,45430,7,High
275825,52635,45045,373505,57145,12,Medium
245410,33330,42240,320980,49390,6,High
222299,50479,54989,327767,54879,9,Medium
349338,42988,13178,405504,57618,9,High
254936,22726,41206,318868,50006,8,High
49676,36476,54516,140668,39886,6,Medium
219417,37697,46277,303391,51667,8,Low
288288,56188,29568,374044,58388,9,Low
247335,17105,50435,314875,48565,9,Low
136653,22913,14993,174559,46453,8,Medium
265298,59268,55638,380204,60588,9,Low
226347,62447,74877,363671,57277,10,Medium
314281,43131,27621,385033,56001,10,Low
35343,44363,57673,137379,41833,6,Low
171226,28666,24486,224378,44396,9,High
256784,65604,51194,373582,59554,10,Low
258643,45463,21923,326029,55583,12,High
85415,14905,34925,135245,43945,7,Medium
312334,58014,69894,440242,59994,10,Medium
140833,46563,21923,209319,51733,7,High
168817,57827,41217,267861,52877,9,Low
99011,19481,8921,127413,41811,4,Low
56419,34969,9009,100397,40689,4,Medium
175230,24090,18040,217360,45210,9,Medium
284801,40051,20581,345433,52921,10,High
263703,59653,39963,363319,58223,11,Low
147103,28193,46013,221309,48433,8,Medium
53845,46805,30415,131065,42515,3,Low
170599,20669,47509,238777,48829,8,High
258236,36696,22726,317658,50666,8,High
55011,12661,32351,100023,40821,3,Low
156343,41283,24233,221859,47883,10,High
32186,45276,21406,98868,40546,6,High
150821,17831,33451,202103,43791,3,Medium
288695,15565,50325,354585,46915,7,Medium
109956,35596,47696,193248,48026,7,Low
97119,56969,45859,199947,45309,7,Low
262823,61413,49973,374209,60313,11,Medium
236357,30217,80927,347501,49027,6,Medium
111628,44088,30118,185834,49368,7,High
145673,54703,78243,278619,49973,8,High
120934,37994,89364,248292,46464,6,Low
145673,63613,66253,275539,51733,10,High
175835,19635,23155,218625,48895,8,Medium
267355,50875,77605,395835,57695,10,Medium
300223,50523,88583,439329,57123,9,Medium
145354,28754,24024,198132,48334,10,High
208252,49522,71632,329406,55682,12,Medium
241934,14564,15884,272382,45914,8,Low
345389,59389,67859,472637,63129,12,Low
173030,56320,59620,288970,51700,7,Low
268378,14608,63338,346324,45078,7,Medium
353100,53130,122870,529100,61710,12,High
331012,20042,31152,382206,47542,9,Medium
288728,50578,17358,356664,57948,9,High
173855,59345,71885,305085,51755,8,High
50622,21362,40612,112596,39512,6,Low
121770,8800,32670,163240,40370,6,High
