"³¯Â¥","°èÀý","ÈÞÀÏ¿©ºÎ","±Ù¹«¿©ºÎ","³¯¾¾»óÈ²","±â¿Â..C.","Ç³¼Ó.m.s.","½Àµµ...","Àû¼³.cm.","ÀÏÀÏÈ¸¿ø","Á¤±âÈ¸¿ø","ÃÑ.»ç¿ëÀÚ.¼ö","°æ·Î"
2018-01-01 01:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-3.3,0.7,41,0,3,13,16,"youtube"
2018-01-01 02:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-3.7,0.9,42,0,8,32,40,"web"
2018-01-01 03:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-4,1,44,0,5,27,32,"web"
2018-01-01 04:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-4.2,1.1,53,0,3,10,13,"youtube"
2018-01-01 05:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-4.4,0.8,54,0,0,1,1,"twitter"
2018-01-01 06:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-4.5,1.1,51,0,0,1,1,"web"
2018-01-01 07:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-4.7,1.1,56,0,2,0,2,"youtube"
2018-01-01 08:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-5,1,55,0,1,2,3,"web"
2018-01-01 09:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-4.3,0.7,39,0,1,7,8,"web"
2018-01-01 10:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-1.6,0.8,32,0,8,6,14,"web"
2018-01-01 11:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",0.1,2.2,27,0,12,24,36,"web"
2018-01-01 12:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",1.5,2.8,20,0,26,30,56,"web"
2018-01-01 13:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",2.4,2.3,22,0,29,55,84,"web"
2018-01-01 14:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",3.7,2.1,24,0,47,47,94,"youtube"
2018-01-01 15:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",3,2.9,27,0,35,71,106,"web"
2018-01-01 16:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",3,2.5,28,0,40,70,110,"web"
2018-01-01 17:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",1.8,3.3,33,0,41,52,93,"youtube"
