날짜,계절,휴일여부,근무여부,날씨상황,기온(°C),풍속(m/s),습도(%),적설(cm),일일회원,정기회원,총 사용자 수,경로
2018-01-01 1:00,4,0,0,1,-3.3,0.7,41,,3,13,16,Youtube
2018-01-01 2:00,4,0,0,1,-3.7,0.9,42,,8,32,40,www.instagram.com
2018-01-01 3:00,4,0,0,1,-4,1,44,,5,27,32,www.daum.com
2018-01-01 4:00,4,0,0,1,-4.2,1.1,53,,3,10,13,Youtube
2018-01-01 5:00,4,0,0,1,-4.4,0.8,54,,0,1,1,Twitter
2018-01-01 6:00,4,0,0,2,-4.5,1.1,51,,0,1,1,www.bing.com
2018-01-01 7:00,4,0,0,1,-4.7,1.1,56,,2,0,2,Youtube
2018-01-01 8:00,4,0,0,1,-5,1,55,,1,2,3,www.instagram.com
2018-01-01 9:00,4,0,0,1,-4.3,0.7,39,,1,7,8,www.instagram.com
2018-01-01 10:00,4,0,0,1,-1.6,0.8,32,,8,6,14,www.bing.com
2018-01-01 11:00,4,0,0,1,0.1,2.2,27,,12,24,36,www.bing.com
2018-01-01 12:00,4,0,0,1,1.5,2.8,20,,26,30,56,www.instagram.com
2018-01-01 13:00,4,0,0,1,2.4,2.3,22,,29,55,84,www.daum.com
2018-01-01 14:00,4,0,0,2,3.7,2.1,24,,47,47,94,Youtube
2018-01-01 15:00,4,0,0,2,3,2.9,27,,35,71,106,www.google.com
2018-01-01 16:00,4,0,0,2,3,2.5,28,,40,70,110,www.google.com
2018-01-01 17:00,4,0,0,2,1.8,3.3,33,,41,52,93,Youtube
2018-01-01 18:00,4,0,0,2,0.8,1.9,34,,15,52,67,facebook page
2018-01-01 19:00,4,0,0,3,-0.1,1.3,39,,9,26,35,www.daum.com
2018-01-01 20:00,4,0,0,3,-0.3,1.2,40,,6,31,37,www.instagram.com
2018-01-01 21:00,4,0,0,2,-0.9,1.2,44,,11,25,36,Youtube
2018-01-01 22:00,4,0,0,2,-1.3,0.8,48,,3,31,34,www.daum.com
2018-01-01 23:00,4,0,0,2,-1.6,0.7,51,,11,17,28,Youtube
2018-01-02 0:00,4,0,0,2,-1.8,1.1,54,,15,24,39,facebook page
2018-01-02 1:00,4,0,0,2,-2.1,0.8,56,,4,13,17,Youtube
2018-01-02 2:00,4,0,0,2,-2.3,0.9,62,,1,16,17,Twitter    
2018-01-02 3:00,4,0,0,2,-2.5,0.4,62,,1,8,9,NA
2018-01-02 4:00,4,0,0,2,-2.7,0.5,67,,2,4,6,www.google.com
2018-01-02 5:00,4,0,0,2,-3.1,0.6,67,,2,1,3,Youtube
2018-01-02 6:00,4,0,0,3,-3.2,0.4,67,,0,2,2,www.instagram.com
2018-01-02 7:00,4,0,0,2,-3.2,0.5,69,,0,1,1,www.google.com
2018-01-02 8:00,4,0,0,3,-3.4,0.8,71,,0,8,8,www.instagram.com
2018-01-02 9:00,4,0,0,2,-3.1,0.2,66,,1,19,20,NA
2018-01-02 10:00,4,0,0,2,-1.4,1.9,50,,7,46,53,direct
2018-01-02 11:00,4,0,0,2,-0.4,2.3,40,,16,54,70,www.google.com
2018-01-02 12:00,4,0,0,2,0.9,1.9,29,,20,73,93,NA
2018-01-02 13:00,4,0,0,2,1.5,3.6,23,,11,64,75,www.google.com
2018-01-02 14:00,4,0,0,3,1.7,4.4,20,,4,55,59,NAVER Blog
2018-01-02 15:00,4,0,0,3,1.5,3,22,,19,55,74,NAVER Blog
2018-01-02 16:00,4,0,0,3,1.3,2.9,23,,9,67,76,direct
2018-01-02 17:00,4,0,0,1,0.3,2.6,27,,7,58,65,www.bing.com
2018-01-02 18:00,4,0,0,2,-0.8,2.3,24,,10,43,53,facebook page
2018-01-02 19:00,4,0,0,1,-1.3,2.4,28,,1,29,30,Youtube
2018-01-02 20:00,4,0,0,1,-1.9,2.2,26,,5,17,22,Youtube
2018-01-02 21:00,4,0,0,1,-2.6,2,28,,11,20,31,Youtube
2018-01-02 22:00,4,0,0,1,-3.4,2.4,33,,0,9,9,Youtube
2018-01-02 23:00,4,0,0,1,-3.8,2.3,35,,0,8,8,www.google.com
2018-01-03 0:00,4,0,1,1,-4.3,1.4,38,,0,5,5,direct
2018-01-03 1:00,4,0,1,1,-5,1.2,42,,0,2,2,direct
2018-01-03 2:00,4,0,1,1,-5.5,2,43,,0,1,1,NAVER Blog
2018-01-03 3:00,4,0,1,1,-6.1,1.3,45,,0,3,3,Youtube
2018-01-03 4:00,4,0,1,1,-6.1,2.3,45,,0,30,30,Twitter
2018-01-03 5:00,4,0,1,1,-6.4,2.4,47,,1,63,64,www.bing.com
2018-01-03 6:00,4,0,1,1,-6.7,2.4,48,,1,153,154,facebook page
2018-01-03 7:00,4,0,1,1,-6.9,2.4,48,,7,81,88,www.bing.com
2018-01-03 8:00,4,0,1,1,-7,1.5,49,,11,33,44,Youtube
2018-01-03 9:00,4,0,1,1,-6.8,1.7,44,,10,41,51,NAVER Blog
2018-01-03 10:00,4,0,1,1,-5.6,2.9,38,,13,48,61,www.google.com
2018-01-03 11:00,4,0,1,1,-4.5,3.2,36,,8,53,61,Youtube
2018-01-03 12:00,4,0,1,1,-3.4,3.1,32,,11,66,77,www.instagram.com
2018-01-03 13:00,4,0,1,1,-2.2,2.3,31,,14,58,72,www.instagram.com
2018-01-03 14:00,4,0,1,1,-1.5,2.8,30,,9,67,76,facebook page
2018-01-03 15:00,4,0,1,1,-1.1,2.8,29,,11,146,157,www.instagram.com
2018-01-03 16:00,4,0,1,1,-0.4,2,30,,9,148,157,www.google.com
2018-01-03 17:00,4,0,1,1,-1.9,1.8,35,,8,102,110,Youtube
2018-01-03 18:00,4,0,1,1,-3.1,2.1,39,,3,49,52,www.bing.com
2018-01-03 19:00,4,0,1,1,-3.7,2,41,,3,49,52,www.google.com
2018-01-03 20:00,4,0,1,1,-3.9,2.5,44,,0,20,20,facebook page
2018-01-03 21:00,4,0,1,1,-4.3,2.8,47,,1,11,12,direct
2018-01-03 22:00,4,0,1,1,-5.2,1.3,53,,0,5,5,direct
2018-01-03 23:00,4,0,1,1,-5.9,0.8,54,,0,2,2,NA
2018-01-04 0:00,4,0,1,1,-6.3,1.4,54,,0,1,1,Youtube
2018-01-04 1:00,4,0,1,1,-6.9,2.3,56,,0,2,2,www.instagram.com
2018-01-04 2:00,4,0,1,1,-7.3,2,57,,0,4,4,Youtube
2018-01-04 3:00,4,0,1,1,-7.4,1.7,54,,0,36,36,facebook page
2018-01-04 4:00,4,0,1,1,-7.5,1.3,55,,2,92,94,Youtube
2018-01-04 5:00,4,0,1,1,-7.6,1.3,49,,2,177,179,www.bing.com
2018-01-04 6:00,4,0,1,1,-7.6,2.3,47,,2,98,100,www.bing.com
2018-01-04 7:00,4,0,1,2,-8.1,0.5,51,,5,37,42,direct
2018-01-04 8:00,4,0,1,1,-8.6,0.6,55,,7,50,57,www.google.com
2018-01-04 9:00,4,0,1,1,-7.9,1.2,48,,12,66,78,direct
2018-01-04 10:00,4,0,1,1,-6.4,1,43,,18,79,97,direct
2018-01-04 11:00,4,0,1,1,-4.4,0.8,40,,9,54,63,www.google.com
