유튜브광고_예산,페이스북광고_예산,네이버블로그광고_예산,총_마케팅_예산,수익,종업원_수,타겟시장_인구밀도
78004.08,56857.68,62322.48,197184.24,46640.88,5,High
46450.8,65577.6,91951.2,203979.6,46213.2,7,Medium
207674.28,61787.88,80795.88,350258.04,58817.88,11,Medium
40819.68,73608.48,103189.68,217617.84,48185.28,7,High
92913.48,48601.08,36127.08,177641.64,47769.48,9,Low
40617.72,17926.92,15194.52,73739.16,45250.92,3,High
268143.48,18901.08,39572.28,326616.84,52521.48,10,Low
106955.64,20350.44,40784.04,168090.12,47793.24,6,High
283219.2,41698.8,16513.2,341431.2,57974.4,6,Medium
51713.64,50169.24,85334.04,187216.92,43516.44,4,Low
140469.12,18699.12,16798.32,175966.56,45310.32,7,Medium
266872.32,48517.92,62655.12,378045.36,56121.12,9,High
260777.88,70341.48,75093.48,406212.84,64401.48,10,High
106670.52,54636.12,145161.72,306468.36,50121.72,6,Low
363634.92,61407.72,79227.72,504270.36,67466.52,12,Medium
109272.24,36447.84,32408.64,178128.72,49634.64,6,High
288351.36,46830.96,75936.96,411119.28,59423.76,10,Medium
313204.32,22263.12,42696.72,378164.16,55170.72,6,Low
41770.08,30008.88,68618.88,140397.84,41888.88,5,Low
300611.52,34499.52,44122.32,379233.36,56952.72,10,High
104710.32,30697.92,36043.92,171452.16,51369.12,6,High
194451.84,44526.24,23261.04,262239.12,51654.24,6,Low
313584.48,33216.48,39156.48,385957.44,56382.48,9,Medium
319548.24,41199.84,34784.64,395532.72,55574.64,9,Low
373115.16,43801.56,60077.16,476993.88,59720.76,9,Low
160261.2,31838.4,55598.4,247698,49420.8,8,High
338568.12,31826.52,6997.32,377391.96,52854.12,10,Medium
139803.84,12806.64,18509.04,171119.52,46545.84,3,Low
375514.92,20065.32,23866.92,419447.16,54517.32,10,Medium
342833.04,62821.44,15301.44,420955.92,65078.64,10,Low
115675.56,70650.36,64829.16,251155.08,53543.16,10,Medium
79120.8,44668.8,53222.4,177012,49064.4,7,High
297891,56845.8,48648.6,403385.4,61716.6,12,Medium
265042.8,35996.4,45619.2,346658.4,53341.2,6,High
240082.92,54517.32,59388.12,353988.36,59269.32,9,Medium
377285.04,46427.04,14232.24,437944.32,62227.44,9,High
275330.88,24544.08,44502.48,344377.44,54006.48,8,High
53650.08,39394.08,58877.28,151921.44,43076.88,6,Medium
236970.36,40712.76,49979.16,327662.28,55800.36,8,Low
311351.04,60683.04,31933.44,403967.52,63059.04,9,Low
267121.8,18473.4,54469.8,340065,52450.2,9,Low
147585.24,24746.04,16192.44,188523.72,50169.24,8,Medium
286521.84,64009.44,60089.04,410620.32,65435.04,9,Low
244454.76,67442.76,80867.16,392764.68,61859.16,10,Medium
339423.48,46581.48,29830.68,415835.64,60481.08,10,Low
38170.44,47912.04,62286.84,148369.32,45179.64,6,Low
184924.08,30959.28,26444.88,242328.24,47947.68,9,High
277326.72,70852.32,55289.52,403468.56,64318.32,10,Low
279334.44,49100.04,23676.84,352111.32,60029.64,12,High
92248.2,16097.4,37719,146064.6,47460.6,7,Medium
337320.72,62655.12,75485.52,475461.36,64793.52,10,Medium
152099.64,50288.04,23676.84,226064.52,55871.64,7,High
182322.36,62453.16,44514.36,289289.88,57107.16,9,Low
106931.88,21039.48,9634.68,137606.04,45155.88,4,Low
60932.52,37766.52,9729.72,108428.76,43944.12,4,Medium
189248.4,26017.2,19483.2,234748.8,48826.8,9,Medium
307585.08,43255.08,22227.48,373067.64,57154.68,10,High
284799.24,64425.24,43160.04,392384.52,62880.84,11,Low
158871.24,30448.44,49694.04,239013.72,52307.64,8,Medium
58152.6,50549.4,32848.2,141550.2,45916.2,3,Low
184246.92,22322.52,51309.72,257879.16,52735.32,8,High
278894.88,39631.68,24544.08,343070.64,54719.28,8,High
59411.88,13673.88,34939.08,108024.84,44086.68,3,Low
168850.44,44585.64,26171.64,239607.72,51713.64,10,High
34760.88,48898.08,23118.48,106777.44,43789.68,6,High
162886.68,19257.48,36127.08,218271.24,47294.28,3,Medium
311790.6,16810.2,54351,382951.8,50668.2,7,Medium
118752.48,38443.68,51511.68,208707.84,51868.08,7,Low
104888.52,61526.52,49527.72,215942.76,48933.72,7,Low
283848.84,66326.04,53970.84,404145.72,65138.04,11,Medium
255265.56,32634.36,87401.16,375301.08,52949.16,6,Medium
120558.24,47615.04,32527.44,200700.72,53317.44,7,High
157326.84,59079.24,84502.44,300908.52,53970.84,8,High
130608.72,41033.52,96513.12,268155.36,50181.12,6,Low
