prod_no,fix_time,a_speed,b_speed,separation,s_separation,rate_terms,mpa,load_time,highpressure_time,c_thickness
90784-76001,85.5,0.611,1.715,242,657.6,95,78.2,18.1,58,24.7
90784-76001,86.2,0.606,1.708,244.7,657.1,95,77.9,18.2,58,22.5
90784-76001,86,0.609,1.715,242.7,657.5,95,78,18.1,82,24.1
90784-76001,86.1,0.61,1.718,241.9,657.3,95,78.2,18.1,74,25.1
90784-76001,86.1,0.603,1.704,242.5,657.3,95,77.9,18.2,56,24.5
90784-76001,86.3,0.606,1.707,244.5,656.9,95,77.9,18,78,22.9
90784-76001,86.5,0.606,1.701,243.1,656.9,95,78.2,18.1,55,24.3
90784-76001,86.4,0.607,1.707,243.1,657.3,95,77.5,18.1,57,23.9
90784-76001,86.3,0.604,1.711,245.2,656.9,95,77.8,18,50,22.2
90784-76001,86,0.608,1.696,248,657.3,95,77.5,18.1,60,19
90784-76001,85.7,0.609,1.696,247.8,657.2,95,77.7,18,61,19.3
90784-76001,86.5,0.606,1.692,243.8,657.4,95,77.8,18.1,51,23.1
90784-76001,86.8,0.606,1.688,246.4,657.4,95,77.7,18,80,20.5
90784-76001,85.2,0.606,1.682,249,657.4,95,76.8,18,72,17.9
90784-76001,85.2,0.607,1.684,232.7,657.3,95,24.9,18.1,60,34.3
90784-76001,85.4,0.472,1.681,243.6,657.1,95,28.1,18.1,60,36.7
90784-76001,85.4,0.47,1.681,243.6,657.1,95,28.1,18.1,60,35.7
90784-76001,91.2,0.472,1.681,243.6,657.1,95,28,0,60,33.8
90784-76001,91.2,0.606,1.69,241.8,657.1,95,77.6,18.1,53,25.4
90784-76001,87.1,0.611,1.688,242.6,657.2,95,77.5,18,69,24.5
90784-76001,88.8,0.609,1.68,249.6,657.8,95,76.7,18,72,16.9
90784-76001,85.7,0.608,1.679,233.3,656.9,95,24.9,18.1,60,34.1
90784-76001,85.4,0.474,1.706,242.8,656.9,95,28.1,18.1,60,36.4
90784-76001,85.2,0.469,1.706,242.8,656.9,95,28.1,18.1,60,36.5
90784-76001,87.1,0.472,1.706,242.8,656.9,95,28,0,60,32.5
90784-76001,87.1,0.611,1.696,246,657.3,96,77.6,18.1,65,21
90784-76001,86.6,0.609,1.698,244.5,656.9,96,78.1,18.1,62,22.9
90784-76001,86.9,0.606,1.703,243.2,656.9,96,77.6,18.2,67,24.2
90784-76001,87.7,0.607,1.697,247.3,656.6,96,77.1,18.1,67,20.4
90784-76001,86.4,0.609,1.712,248.3,657.1,96,77.8,18.1,53,18.9
90784-76001,86.5,0.604,1.705,242.9,657.3,96,77.7,18.1,75,24.1
